Date OMX,Close/Last OMX,Open OMX,High OMX,Low OMX,Date NASDAQ,Close/Last NASDAQ,Open NASDAQ,High NASDAQ,Low NASDAQ
04/12/2022,2218.4,2218.4,2233.77,2201.93,04/12/2022,13940.24,14175.66,14264.74,13882.75
04/11/2022,2232.37,2232.37,2268.26,2230.01,04/11/2022,13990.21,14149.6,14187.67,13979.14
04/08/2022,2272.15,2263.9,2273.4,2252.22,04/08/2022,14327.26,14450.53,14490.19,14307.68
04/07/2022,2244.2,2244.2,2254.09,2224.9,04/07/2022,14531.81,14469.5,14624.24,14315.69
04/06/2022,2222.64,2222.64,2254.93,2206.74,04/06/2022,14498.88,14600.3,14639.35,14395.4
04/05/2022,2253.69,2253.69,2260.45,2234.02,04/05/2022,14820.64,15109.27,15120.67,14782.57
04/04/2022,2226.6,2226.6,2231.97,2205.78,04/04/2022,15159.58,14903.38,15161.89,14884.57
04/01/2022,2219.23,2207.44,2220.62,2190.96,04/01/2022,14861.21,14886.91,14925.93,14723.83
03/31/2022,2192.8,2192.8,2226.64,2192.15,03/31/2022,14838.49,15074.23,15088.38,14835.16
03/30/2022,2216.1,2216.1,2216.5,2187.68,03/30/2022,15071.55,15177.15,15229.01,15010.34
03/29/2022,2212.65,2212.65,2225.75,2191.28,03/29/2022,15239.32,15142.93,15265.42,15039.61
03/28/2022,2169.47,2169.47,2178.42,2148.49,03/28/2022,14987.4,14763.16,14989.08,14705.92
03/25/2022,2151.58,2179.28,2182.55,2148.14,03/25/2022,14754.31,14766.9,14805.88,14577.59
03/24/2022,2175.03,2175.03,2208.27,2171.83,03/24/2022,14765.69,14529.72,14767.73,14440.67
03/23/2022,2197.24,2197.24,2225.25,2184.39,03/23/2022,14447.55,14525.22,14681.33,14446.04
03/22/2022,2218.8,2218.8,2225.34,2202.15,03/22/2022,14654.33,14396.03,14688.97,14385.55
03/21/2022,2221.07,2221.07,2224.07,2204.84,03/21/2022,14376.09,14377.15,14470.68,14190.53
03/18/2022,2219.18,2190.35,2219.18,2179.66,03/18/2022,14420.08,14061.29,14427.47,14014.43
03/17/2022,2196.92,2196.92,2204.82,2181.5,03/17/2022,14118.6,13878.99,14125.67,13827.34
03/16/2022,2175.64,2175.64,2180.72,2132.49,03/16/2022,13956.78,13633.12,13960.25,13475.09
03/15/2022,2092.15,2092.15,2107.1,2057.76,03/15/2022,13458.56,13174.97,13488.18,13092.45
03/14/2022,2112.4,2112.4,2131.55,2077.12,03/14/2022,13046.64,13248.09,13386.67,13020.4
03/11/2022,2073.3,2083.61,2095.98,2045.6,03/11/2022,13301.83,13701.8,13714.44,13285.19
03/10/2022,2050.83,2050.83,2066.97,2027.06,03/10/2022,13591,13577.84,13633.69,13399.46
03/09/2022,2056.09,2056.09,2056.15,2009.74,03/09/2022,13742.2,13610.48,13793.11,13504.48
03/08/2022,1992.17,1992.17,2041.31,1967.39,03/08/2022,13267.6,13275.23,13663.27,13129.4
03/07/2022,1992.24,1992.24,2023.38,1928.78,03/07/2022,13319.38,13853.53,13879.1,13314.44
03/04/2022,2001.54,1999.86,2049.05,1996.92,03/04/2022,13837.83,13957.6,13992.97,13738.61
03/03/2022,2047.44,2047.44,2098.39,2044.33,03/03/2022,14035.21,14339.7,14342.56,13965.11
03/02/2022,2080.89,2080.89,2088.35,2049.46,03/02/2022,14243.69,14075.11,14292.72,13962.69
03/01/2022,2090.98,2090.98,2133.05,2073.2,03/01/2022,14005.99,14197.66,14271.58,13906.92
02/28/2022,2131.24,2103.88,2131.99,2069.02,02/28/2022,14237.81,14058.61,14296.6,14009.36
02/25/2022,2113.85,2106.53,2116.35,2046.15,02/25/2022,14189.16,13973.9,14193,13850.29
02/24/2022,2034.22,2034.22,2039.74,1971.84,02/24/2022,13974.67,13065.44,13989.1,13065.44
02/23/2022,2078.98,2078.98,2120.92,2077.08,02/23/2022,13509.43,14016.94,14035.93,13502.58
02/22/2022,2098.83,2098.83,2116.44,2030.33,02/22/2022,13870.53,13892.81,14109.26,13720.92
02/18/2022,2092.4,2142.19,2148.88,2073.39,02/18/2022,14009.54,14207.55,14225.72,13918.76
02/17/2022,2167.57,2167.57,2210.69,2163.22,02/17/2022,14171.74,14485.08,14497.46,14155.43
02/16/2022,2197.19,2197.19,2216.3,2188,02/16/2022,14603.64,14514.84,14647.79,14399.29
02/15/2022,2206.22,2206.22,2209.55,2150.09,02/15/2022,14620.82,14482.11,14624.53,14444.46
02/14/2022,2152.8,2152.8,2159.84,2117.44,02/14/2022,14268.59,14233.4,14400.78,14119.73
02/11/2022,2206.14,2218.31,2222.29,2193.75,02/11/2022,14253.84,14739.46,14769.64,14194.54
02/10/2022,2235.01,2235.01,2277.67,2221.85,02/10/2022,14705.64,14770.67,15037.26,14636.62
02/09/2022,2261.59,2261.59,2265.48,2216.73,02/09/2022,15056.96,14930.99,15057.9,14870.36
02/08/2022,2198.05,2198.05,2232.51,2193.09,02/08/2022,14747.03,14533.25,14785.22,14485.78
02/07/2022,2219.26,2219.26,2220.34,2182.88,02/07/2022,14571.25,14716.43,14813.86,14524.63
02/04/2022,2183.69,2197.19,2256.19,2181.38,02/04/2022,14694.35,14566.28,14832.05,14452.28
02/03/2022,2235.8,2235.8,2285.3,2234.82,02/03/2022,14501.11,14693.85,14856.51,14471.2
02/02/2022,2288.16,2288.16,2291.93,2277.77,02/02/2022,15139.74,15173.03,15196.4,14960.85
02/01/2022,2252.68,2252.68,2261.42,2240.06,02/01/2022,15019.68,14966.6,15034.42,14749.49
01/31/2022,2227.07,2227.07,2235.45,2207.48,01/31/2022,14930.05,14505.07,14934.52,14442.88
01/28/2022,2179.29,2169.07,2197.06,2153.4,01/28/2022,14454.61,14091.31,14457.78,13880.48
01/27/2022,2204.51,2204.51,2216.18,2156.06,01/27/2022,14003.11,14346.46,14419.45,13972.88
01/26/2022,2198.84,2198.84,2219.4,2176.46,01/26/2022,14172.76,14492.52,14646.54,14006.4
01/25/2022,2163.78,2163.78,2184.88,2151.35,01/25/2022,14149.12,14237.6,14410.43,14033.81
01/24/2022,2143.66,2143.66,2227.67,2124.52,01/24/2022,14509.58,14160.91,14532.57,13724.85
01/21/2022,2239.51,2236.99,2259.8,2222.12,01/21/2022,14438.4,14728.66,14868.45,14432.64
01/20/2022,2297.89,2297.89,2299.82,2263.2,01/20/2022,14846.46,15176.38,15347.62,14832.69
01/19/2022,2282.36,2282.36,2302.94,2248.43,01/19/2022,15047.84,15287.25,15382,15038.43
01/18/2022,2274.8,2274.8,2299.97,2258.4,01/18/2022,15210.76,15378.06,15446.3,15182.96
01/14/2022,2310.38,2303.12,2313.16,2292.32,01/14/2022,15611.59,15396.47,15617.18,15396.47
01/13/2022,2353.03,2353.03,2365.16,2345.88,01/13/2022,15495.62,15970.09,15990.38,15468.09
01/12/2022,2361.72,2361.72,2364.93,2340.7,01/12/2022,15905.1,15955.48,16017.39,15815.95
01/11/2022,2335.93,2335.93,2355.36,2331.08,01/11/2022,15844.12,15582.72,15848.56,15496.91
01/10/2022,2314.49,2314.49,2386.36,2310.82,01/10/2022,15614.43,15383.18,15627.92,15165.53
01/07/2022,2363.88,2365.72,2388.73,2356.52,01/07/2022,15592.19,15774.13,15835,15526.8
01/06/2022,2396.82,2396.82,2410.72,2387.13,01/06/2022,15765.36,15675.22,15900.6,15608.57
01/05/2022,2431.56,2431.56,2450.49,2429.53,01/05/2022,15771.78,16190.55,16249.23,15763.84
01/04/2022,2442.45,2442.45,2462.56,2436.55,01/04/2022,16279.73,16513.87,16513.87,16151.9
01/03/2022,2447.09,2447.09,2466.13,2440.8,01/03/2022,16501.77,16395.51,16504.14,16306.64
12/31/2021,2446.44,2451.15,2453.46,2445.24,12/31/2021,16320.08,16411.26,16464.62,16317.26
12/30/2021,2451.68,2451.68,2459.97,2446.07,12/30/2021,16429.1,16485.4,16569.62,16415.12
12/29/2021,2443,2443,2458.89,2436.7,12/29/2021,16491.01,16510.63,16548.92,16396.16
12/28/2021,2452.88,2452.88,2458.96,2438.79,12/28/2021,16488.66,16602.92,16607.19,16458.49
12/27/2021,2434.03,2434.03,2437.02,2403.41,12/27/2021,16567.5,16361.07,16567.64,16361.07
12/23/2021,2408.45,2412.32,2413.17,2405.75,12/23/2021,16308.21,16203.76,16360.75,16188.02
12/22/2021,2387.63,2387.63,2387.63,2360.05,12/22/2021,16180.14,15963.54,16186.25,15947.56
12/21/2021,2353.19,2353.19,2358.27,2334.23,12/21/2021,15986.28,15794.38,15997.61,15617.48
12/20/2021,2314.26,2314.26,2351.41,2271.94,12/20/2021,15627.64,15566.83,15662.61,15508.74
12/17/2021,2389.42,2373.94,2400.08,2368.63,12/17/2021,15801.46,15714.54,15960.25,15664.1
12/16/2021,2405.34,2405.34,2415.69,2392.88,12/16/2021,15863.94,16335.03,16340.53,15802.63
12/15/2021,2370.53,2370.53,2373.17,2352.06,12/15/2021,16289.59,15908.45,16301.27,15746.94
12/14/2021,2346.17,2346.17,2398.01,2345.04,12/14/2021,15914.9,15877.65,15995.21,15742.8
12/13/2021,2385.9,2385.9,2408.56,2382.57,12/13/2021,16082.55,16317.9,16332.63,16075.54
12/10/2021,2385.86,2391.06,2397,2375.38,12/10/2021,16331.98,16278.3,16339.12,16139
12/09/2021,2396.94,2396.94,2404.95,2391.5,12/09/2021,16149.57,16337.81,16413.28,16141.39
12/08/2021,2391.55,2391.55,2416.48,2386.55,12/08/2021,16394.34,16313.88,16401.1,16250.39
